ledger_id,customer_id,statement_date,invoice_date,amount,type_id,reference,invoice_number
"$15,000 ",12512,2/1/2009 7:34,1/23/2009 10:06,0,1,deck depos,1
"$8,500.00 ",20314,11/1/2007 0:00,8/30/2007 0:00,-8500,3,deposit,2
****17359,62519,6/1/2015 0:00,4/13/2015 0:00,-32000,3,,3
****59116,57515,2/1/2009 0:00,1/31/2009 0:00,40,3,bank fee,4
****89605,51221,2/1/2013 0:00,1/18/2013 0:00,-104.49,1,,5
***17359,62519,6/1/2015 0:00,5/15/2015 0:00,1189.73,2,addt foyer,6
***24766,13011,8/1/2016 0:00,7/11/2016 0:00,-290.34,4,july 2%,7
***27739,13011,2/1/2017 0:00,1/19/2017 0:00,-41.56,4,,8
***33110,20103,9/1/2006 0:00,8/30/2006 0:00,-1.06,4,,9
***44351,99501,8/1/2007 0:00,7/10/2007 0:00,70,3,retrnd chk,10
***59116,57515,2/1/2009 0:00,1/31/2009 0:00,-9907.35,3,,11
***61563,57515,5/1/2009 7:44,5/11/2009 0:00,40,3,2nd ret ck,12
***79408,51221,7/1/2011 8:57,6/24/2011 0:00,-35.47,3,,13
***89605,51221,2/1/2013 0:00,1/18/2013 0:00,-21.13,1,,14
***92722,20720,8/1/2013 0:00,7/18/2013 0:00,-149,3,C,15
**14881,11603,12/1/2014 8:27,11/30/2014 0:00,20,1,bank fee,16
**15532,87503,2/1/2015 13:49,4/6/2015 0:00,-83.04,2,,17
**17359,62519,6/1/2015 0:00,5/15/2015 0:00,15698.55,2,2nd galler,18
**18274,11011,7/1/2015 0:00,6/2/2015 0:00,-616.52,3,,19
**24766,13011,8/1/2016 0:00,7/11/2016 0:00,-96.39,4,june 2%,20
**25033,62519,1/1/2017 0:00,7/22/2016 0:00,374.44,2,,21
**25113,62519,1/1/2017 0:00,7/27/2016 0:00,308.85,2,,22
**25263,62519,1/1/2017 0:00,7/27/2016 0:00,276.4,2,,23
**25327,62519,1/1/2017 0:00,8/10/2016 0:00,737,2,,24
**27739,13011,2/1/2017 0:00,1/19/2017 0:00,-1008.48,3,,25
**28686,13011,5/1/2017 0:00,4/3/2017 0:00,-62.19,4,,26
**32596,17701,8/1/2006 10:20,6/29/2006 10:20,-1100,3,deposit,27
**33110,20103,9/1/2006 9:32,7/13/2006 9:36,-151.11,3,,28
**36151,6514,7/1/2018 7:53,7/2/2018 7:57,-1149.42,3,,29
**36597,2516,9/1/2018 0:00,7/30/2018 0:00,-1.03,3,,30
**36600,13703,12/1/2018 11:44,10/31/2018 0:00,-14000,3,deposit,31
**37996,4810,1/1/2019 0:00,1/4/2019 0:00,-20000,3,,32
**39554,6514,4/1/2019 9:55,3/12/2019 9:56,-3559.15,3,,33
**41745,888,9/1/2007 9:16,4/25/2007 9:17,25,1,bank fee,34
**44163,20720,5/1/2020 12:05,3/3/2020 0:00,1250,2,A,35
**44181,20720,5/1/2020 12:05,3/4/2020 0:00,536,2,A,36
**44871,20720,5/1/2020 12:05,5/4/2020 0:00,-4528.45,3,B,37
**45186,20720,5/1/2020 12:05,3/3/2020 0:00,4528.45,2,B,38
**45187,20720,5/1/2020 12:05,3/3/2020 0:00,1268.8,2,A,39
**45478,62519,8/1/2020 0:00,6/13/2020 0:00,1319.8,2,,40
**46953,17701,11/1/2007 7:21,11/1/2007 7:23,50,2,bank fees,41
