ledger_id,customer_id,statement_date,ledger_date,amount,type_id,reference,ledger_order
56776,67017,10/1/08 11:06,9/25/08 0:00,63.13,1,,34011
56777,20003,10/1/08 9:15,9/25/08 9:15,562,2,,33749
56778,19214,6/1/23 9:16,5/17/23 9:16,-2000,3,,84669
56779,33502,10/1/08 7:48,9/25/08 0:00,9.42,1,,33717
56780,17601,10/1/08 7:48,9/25/08 0:00,3941.9,2,oct. deliv,33699
56780,88302,6/1/23 7:39,5/24/23 8:08,110.68,1,,84621
56781,25024,10/1/08 15:11,9/25/08 15:11,615.25,1,,34111
56782,2516,10/1/08 11:06,9/25/08 0:00,43.58,1,,33963
56783,22515,10/1/08 15:25,9/25/08 15:25,26.75,1,,34122
56784,2116,10/1/08 11:06,9/25/08 0:00,447.37,1,,33959
56784,37004,6/1/23 7:39,5/24/23 8:08,-200.18,3,,84631
56785,21503,10/1/08 9:15,9/25/08 9:15,33.71,1,,33754
56785,37004,6/1/23 7:39,5/24/23 8:08,40.52,1,,84630
56786,17214,6/1/23 9:16,5/24/23 9:16,28.79,1,,84667
56787,57515,10/1/08 0:00,9/25/08 0:00,44.94,1,E,33948
56788,16012,6/1/23 9:16,5/24/23 0:00,26.92,1,,84731
56789,2116,6/1/23 9:16,5/24/23 9:16,114.37,1,,84692
56789,93507,10/1/08 10:18,9/20/08 10:18,498.69,1,,33838
56790,2116,6/1/23 9:16,5/24/23 9:16,113.24,1,,84691
56790,11803,10/1/08 7:48,9/25/08 0:00,-653.5,3,,33740
56791,17601,10/1/08 7:48,9/25/08 7:48,30.94,2,,33700
56793,18520,10/1/08 0:00,9/25/08 0:00,81.98,1,,34046
56795,2205,6/1/23 9:16,5/25/23 9:16,20.84,1,,84652
56797,25812,10/1/08 11:19,9/25/08 0:00,120.47,1,,33904
56798,12523,10/1/08 14:55,9/25/08 14:55,1456.37,1,,34090
56799,42517,10/1/08 11:06,9/25/08 0:00,637.65,1,,33988
56799,66117,6/1/23 9:16,5/25/23 0:00,58.47,1,,84715
56800,10016,10/1/08 11:06,9/29/08 0:00,121.98,1,,33971
56802,28003,10/1/08 7:48,9/25/08 0:00,50.1,1,616BF,33735
56802,40004,6/1/23 7:39,5/25/23 8:08,-10168.49,3,,84633
56803,40115,6/1/23 9:16,5/25/23 9:16,42.38,1,,84680
56804,10016,11/1/08 9:04,9/26/08 0:00,20.22,1,golthwate,34468
56805,2205,11/1/08 9:04,9/26/08 0:00,63.67,1,,34305
56806,78521,10/1/08 0:00,9/26/08 0:00,315.86,1,,34079
56807,25123,11/1/08 13:56,10/23/08 14:02,329.28,1,,34606
56809,10016,7/1/23 0:00,5/26/23 0:00,413.6,1,27 air cas,84817
56810,11111,7/1/23 0:00,5/25/23 0:00,56.51,1,,84791
56810,12523,11/1/08 13:56,9/26/08 14:02,635.53,1,,34600
56811,27614,6/1/23 9:16,5/25/23 9:16,60.67,1,,84675
56811,68121,10/1/08 0:00,9/26/08 0:00,24.61,1,,34591
56812,65511,6/1/23 9:16,5/26/23 9:16,3193.42,1,,84665
56813,53024,11/1/08 13:56,9/26/08 14:02,14.23,1,,34621
56814,10016,7/1/23 0:00,5/26/23 0:00,62.75,1," """,84818
56815,7505,10/1/08 0:00,9/26/08 0:00,-800,3,,33787
56817,37510,10/1/08 11:19,9/26/08 0:00,-296.62,3,U,33862
56818,19214,10/1/08 0:00,9/26/08 0:00,-1105.31,3,,33915
56818,60019,7/1/23 14:11,5/26/23 0:00,507.3,1,,84833
56819,20003,10/1/08 9:15,9/26/08 9:15,-749.95,3,,33750
56819,27614,7/1/23 0:00,5/26/23 0:00,294.8,1,,84800
56820,25123,7/1/23 14:11,5/26/23 0:00,65.52,1,,84842
56821,26014,10/1/08 14:02,9/26/08 14:02,-135.2,3,,33925
56823,33520,11/1/08 0:00,9/26/08 0:00,38.84,1,,34571
56824,25014,6/1/23 9:16,5/27/23 9:16,-626,3,,84670
56825,19012,11/1/08 9:04,9/26/08 0:00,119.14,1,,34408
56825,66117,6/1/23 9:16,5/27/23 0:00,-125.82,3,,84716
56826,33520,11/1/08 0:00,9/26/08 0:00,131.61,1,,34572
56826,99802,6/1/23 7:39,5/27/23 8:08,-425.92,3,,84622
56828,46017,11/1/08 0:00,9/27/08 0:00,70.5,1,,34498
56829,27614,6/1/23 9:16,5/30/23 9:16,-6000,3,,84677
56830,28104,10/1/08 9:15,9/27/08 9:15,160.5,1,,33765
56831,2116,7/1/23 0:00,5/30/23 0:00,944.53,1,,84806
56831,73510,11/1/08 0:00,9/27/08 0:00,42.38,1,,34488
56832,58217,7/1/23 14:11,5/30/23 14:13,150.82,1,,84826
56834,16101,7/1/23 14:11,5/30/23 0:00,-5000,3,,84835
56834,37004,11/1/08 9:04,9/27/08 0:00,51.33,1,,34303
56835,24024,11/1/08 13:56,10/27/08 14:02,1031.64,1,,34627
56837,12523,11/1/08 13:56,9/27/08 14:02,1075.34,1,,34601
56838,84502,7/1/23 10:38,5/30/23 0:00,41.69,1,,84772
56840,14514,7/1/23 10:38,5/31/23 0:00,37.75,1,,84775
56840,67017,11/1/08 0:00,9/27/08 0:00,557.65,1,,34514
56841,67017,10/1/08 11:06,9/27/08 0:00,-90.94,1,,34015
56844,16012,7/1/23 14:11,5/31/23 0:00,31.99,1,,84844
56846,17214,7/1/23 0:00,5/31/23 0:00,215.38,1,,84798
56847,65908,11/1/08 9:04,9/29/08 0:00,30.56,1,,34353
56849,18520,11/1/08 9:36,9/29/08 0:00,66.79,1,,34547
56850,2116,7/1/23 0:00,6/1/23 0:00,696.99,1,,84807
56850,56217,11/1/08 0:00,9/29/08 0:00,34.72,1,,34508
56851,17214,7/1/23 0:00,6/1/23 0:00,116.12,1,,84799
56852,2205,7/1/23 0:00,6/1/23 0:00,102.36,1,John's ,84784
56852,20512,11/1/08 9:04,9/29/08 0:00,601.75,2,,34413
56853,38520,11/1/08 0:00,9/29/08 0:00,912.5,1,,34581
56855,13008,7/1/23 0:00,6/2/23 0:00,1200,2,,84780
56855,77602,11/1/08 0:00,9/29/08 0:00,166.43,1,,34253
56856,82602,11/1/08 0:00,9/29/08 0:00,20.01,1,,34255
56857,10016,11/1/08 9:04,9/22/08 0:00,31.77,1,crestview,34469
56858,88502,11/1/08 0:00,9/29/08 0:00,17.15,1,,34264
56859,88501,11/1/08 7:49,9/29/08 0:00,596.31,1,,34239
56860,2116,7/1/23 0:00,6/2/23 0:00,21.31,1,,84808
56863,17020,11/1/08 9:36,9/29/08 0:00,62.1,1,,34544
56865,40004,11/1/08 9:04,10/9/08 0:00,662.32,1,leonowicz,34315
56866,95019,10/1/08 0:00,9/29/08 0:00,-175,3,,34024
56869,11011,11/1/08 9:04,9/29/08 0:00,194.1,1,,34380
56870,11011,10/1/08 11:19,9/29/08 0:00,-7355.73,3,,33894
56871,56217,11/1/08 0:00,9/29/08 0:00,512.94,1,,34509
