ledger_id,customer_id,statement_date,ledger_date,amount,type_id,reference,ledger_order
45447,40004,3/1/2025,1/29/2025,20130.8,1,perona,84473
62076,40004,3/1/2025,12/31/2024,73.52,1,mendenberg,84470
62163,40004,3/1/2025,1/17/2025,-148.42,3,,84471
62175,40004,3/1/2025,1/21/2025,70.37,1,personal,84472
62212,13103,3/1/2025,1/29/2025,125.79,1,,84465
62214,55001,3/1/2025,1/29/2025,135.75,2,,84459
62229,13103,3/1/2025,1/31/2025,1881.93,1,,84467
62230,13103,3/1/2025,1/31/2025,124.94,1,,84466
62253,28703,3/1/2025,2/4/2025,140.85,1,farm,84463
62261,39103,3/1/2025,2/6/2025,-4171.79,3,,84457
62263,84502,3/1/2025,2/7/2025,62.19,1,,84460
62269,55001,3/1/2025,2/7/2025,212,2,,84462
62276,61507,3/1/2025,2/10/2025,7601,2,,84458
62278,40004,3/1/2025,2/11/2025,12384.49,1,kerrs corn,84474
62279,20903,3/1/2025,2/10/2025,148.64,1,,84468
62287,53717,3/1/2025,2/11/2025,-500,3,,84456
62297,28006,3/1/2025,2/5/2025,615.87,1,,84478
62305,40004,3/1/2025,2/12/2025,29.87,1,reilly,84475
62326,28003,3/1/2025,2/18/2025,-46.22,3,,84464
62348,40004,3/1/2025,2/20/2025,288.74,1,perona,84476
62356,28204,3/1/2025,2/21/2025,251.1,1,,84469
62384,99802,3/1/2025,2/25/2025,5565.83,1,,84461
62399,34005,3/1/2025,2/26/2025,-318.28,3,,84477
45450,40004,3/1/2025,2/28/2025,20944.35,1,perona,84497
62196,11111,3/1/2025,1/27/2025,50.36,1,,84493
62204,10016,3/1/2025,1/28/2025,13.54,1,so nj,84516
62216,2205,3/1/2025,1/30/2025,372.49,1,,84481
62217,10016,3/1/2025,1/30/2025,26.62,1,so nj,84517
62225,10016,3/1/2025,1/30/2025,63.44,1,4 edgemere,84518
62239,17612,3/1/2025,2/3/2025,-237.77,3,,84498
62247,19214,3/1/2025,2/4/2025,570.44,1,,84505
62249,19214,3/1/2025,2/4/2025,362.1,1,,84506
62250,19214,3/1/2025,2/4/2025,4344.54,1,,84507
62257,10016,3/1/2025,2/5/2025,100.87,1,amanda,84519
62259,21811,3/1/2025,2/6/2025,51.98,1,,84495
62265,10016,3/1/2025,2/7/2025,1486.03,1,79 maple,84520
62267,2205,3/1/2025,2/7/2025,32.41,1,,84482
62272,2205,3/1/2025,2/7/2025,-105.77,1,,84483
62292,21811,3/1/2025,2/11/2025,20.79,1,,84496
62295,40115,3/1/2025,2/12/2025,44.36,1,,84515
62302,25014,3/1/2025,2/14/2025,26.1,2,PO 76183,84508
62304,10016,3/1/2025,2/14/2025,712.47,1,11 edgemer,84521
62320,10016,3/1/2025,2/18/2025,1742.33,1,79 maple,84522
62323,65511,3/1/2025,2/18/2025,158.34,1,,84501
62330,25014,3/1/2025,2/19/2025,379.2,2,PO 76184,84509
62336,37510,3/1/2025,2/19/2025,112,2,,84490
62337,25014,3/1/2025,2/19/2025,176,2,PO 76185,84510
62338,22810,3/1/2025,2/19/2025,108,2,PO 251106,84489
62339,65908,3/1/2025,2/20/2025,2830.89,1,,84480
62342,4810,3/1/2025,2/26/2025,26.44,1,,84484
62343,37510,3/1/2025,2/20/2025,224,2,,84491
62347,25014,3/1/2025,2/20/2025,56,2,PO 76188,84511
62349,10016,3/1/2025,2/20/2025,9.49,1,7 edgemere,84524
62353,17214,3/1/2025,2/21/2025,26.6,1,,84499
62355,10016,3/1/2025,2/19/2025,639.75,1,,84523
62363,29016,3/1/2025,2/22/2025,-167.45,3,,84525
62369,4810,3/1/2025,2/24/2025,1900.06,1,,84485
62370,4810,3/1/2025,2/24/2025,2806.37,1,,84486
62372,4810,3/1/2025,2/24/2025,8758.18,1,,84487
62376,37510,3/1/2025,2/24/2025,-24,3,,84492
62387,65511,3/1/2025,2/25/2025,2231.66,1,,84502
62391,25014,3/1/2025,2/25/2025,12.39,2,PO 76192,84512
62398,15007,3/1/2025,2/26/2025,-1969.36,3,,84479
62400,25014,3/1/2025,2/26/2025,18.4,2,PO 76195,84513
62406,25014,3/1/2025,2/27/2025,-25.1,3,,84514
62422,11111,3/1/2025,3/3/2025,-450.22,3,,84494
62424,65511,3/1/2025,3/3/2025,-2390,3,,84503
62425,55001,3/1/2025,3/3/2025,-347.75,3,,84504
*62289,4810,3/1/2025,2/11/2025,-3000,3,,84446
2,19114,3/1/2025,2/28/2025,191.6,5,,84527
3,45024,3/1/2025,3/3/2025,-158.68,5,,84553
4,31520,3/1/2025,2/28/2025,15.34,5,,84540
45449,39103,3/1/2025,2/18/2025,13156.46,1,,84538
52306,45024,3/1/2025,2/15/2025,-5250,3,,84552
62205,46017,3/1/2025,1/28/2025,901.78,1,,84528
62207,66117,3/1/2025,1/28/2025,1290.72,1,,84535
62228,19214,3/1/2025,1/31/2025,-4344.54,3,,84451
62235,7521,3/1/2025,2/1/2025,-790.02,3,,84544
62238,39103,3/1/2025,2/3/2025,49.52,1,,84537
62244,19214,3/1/2025,2/4/2025,-570.44,3,,84452
62245,19214,3/1/2025,2/4/2025,-362.1,3,,84453
62246,46023,3/1/2025,2/4/2025,110.89,1,,84550
62251,2116,3/1/2025,2/4/2025,-5000,3,,84454
